Brand,Model,category,source,sourceType,sourceId
iLive,ITB105B    ," Sound Bars",Fry's Electronics,retailer,1
Samsung,HW-N400/ZA ," Sound Bars",Fry's Electronics,retailer,1
Sony,HTZ9F      ," Sound Bars",Fry's Electronics,retailer,1
Sony,HTS200F    ," Sound Bars",Fry's Electronics,retailer,1
Sony,HTS100F    ," Sound Bars",Fry's Electronics,retailer,1
Sanyo,RFWSB415E  ," Sound Bars",Fry's Electronics,retailer,1
Sony,HTCT800    ," Sound Bars",Fry's Electronics,retailer,1
Jamo,1064187    ," Sound Bars",Fry's Electronics,retailer,1
Samsung,HW-N450/ZA ," Sound Bars",Fry's Electronics,retailer,1
Samsung,HW-MS550/ZA," Sound Bars",Fry's Electronics,retailer,1
Jamo,1064193    ," Sound Bars",Fry's Electronics,retailer,1
LG,SJ2        ," Sound Bars",Fry's Electronics,retailer,1
Grand Prix,iTBSW285B  ," Sound Bars",Fry's Electronics,retailer,1
iLive,ITB066B    ," Sound Bars",Fry's Electronics,retailer,1
Sony,HTMT300/B  ," Sound Bars",Fry's Electronics,retailer,1
Samsung,HW-M360/ZA ," Sound Bars",Fry's Electronics,retailer,1
LG,SK9Y       ," Sound Bars",Fry's Electronics,retailer,1
JBL,JBLBARSBLKAM        ," Sound Bars",Fry's Electronics,retailer,1
Yamaha,YSP-5600BL ," Sound Bars",Fry's Electronics,retailer,1
Bose,732522-1110," Sound Bars",Fry's Electronics,retailer,1
Sony,HTST5000   ," Sound Bars",Fry's Electronics,retailer,1
Harman Kardon,SABRE35 AM ," Sound Bars",Fry's Electronics,retailer,1
Samsung,HW-N650/ZA ," Sound Bars",Fry's Electronics,retailer,1
Samsung,HW-K850/ZA ," Sound Bars",Fry's Electronics,retailer,1
Toshiba,TY-WSB600  ," Sound Bars",Fry's Electronics,retailer,1
Sony,HTNT5      ," Sound Bars",Fry's Electronics,retailer,1
Harman Kardon,SB26AM     ," Sound Bars",Fry's Electronics,retailer,1
Klipsch,RSB-8      ," Sound Bars",Fry's Electronics,retailer,1
Samsung,HW-MS6500/ZA        ," Sound Bars",Fry's Electronics,retailer,1
